Building Type,New Building,Elevator,Number of Floors,Total Area,Number of Rooms,Number of Bathrooms,Ceiling Height,Floor,Balcony,Furniture,Renovation,Price,District
Stone,No,Not Available,5,94.0,3.0,1.0,2.7,3.0,Closed Balcony,Partially Furnished,Euro Renovation,148051.95,Arabkir
Monolith,Yes,Available,14,80.0,3.0,2.0,3.0,11.0,Open Balcony,Available,Designer Renovated,235000.0,Arabkir
Stone,No,Not Available,5,83.0,3.0,1.0,2.75,3.0,Open Balcony,Available,Euro Renovation,280000.0,Kentron
Monolith,Yes,Available,16,55.0,2.0,1.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,90000.0,Kentron
Stone,No,Not Available,3,74.0,3.0,2.0,3.0,3.0,Not Available,Not Available,Cosmetic Renovation,112000.0,Nor Norq
Stone,No,Available,8,80.0,3.0,1.0,2.75,8.0,Open Balcony,Available,Designer Renovated,215000.0,Kentron
Stone,Yes,Available,7,46.0,2.0,1.0,2.8,7.0,Open Balcony,Available,Designer Renovated,135064.94,Kentron
Monolith,Yes,Available,16,110.0,4.0,2.0,2.8,13.0,Open Balcony,Not Available,Capital Renovated,143000.0,Davtashen
Panel,No,Available,13,54.0,2.0,1.0,2.8,10.0,Not Available,Partially Furnished,Capital Renovated,90000.0,Davtashen
Monolith,Yes,Available,18,57.0,2.0,1.0,3.0,9.0,Open Balcony,Available,Capital Renovated,178000.0,Shengavit
Stone,No,Not Available,5,90.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,164000.0,Arabkir
Panel,No,Available,14,66.0,2.0,1.0,2.75,9.0,Closed Balcony,Available,Cosmetic Renovation,110000.0,Arabkir
Stone,No,Not Available,5,91.0,4.0,1.0,3.0,3.0,Multiple Balconies,Available,Capital Renovated,212000.0,Arabkir
Stone,No,Not Available,4,49.0,2.0,1.0,2.75,4.0,Closed Balcony,Available,Old Renovation,68000.0,Ajapnyak
Stone,No,Not Available,4,124.0,4.0,2.0,3.0,4.0,Multiple Balconies,Available,Old Renovation,260000.0,Kentron
Panel,No,Available,16,108.0,4.0,1.0,2.75,3.0,Multiple Balconies,Available,Cosmetic Renovation,145000.0,Kentron
Panel,No,Available,16,75.0,3.0,1.0,2.8,15.0,Closed Balcony,Available,Cosmetic Renovation,160000.0,Davtashen
Panel,No,Available,9,106.0,4.0,2.0,2.8,1.0,Multiple Balconies,Available,Capital Renovated,145000.0,Davtashen
Stone,No,Not Available,6,108.0,4.0,1.0,2.8,1.0,Open Balcony,Not Available,Partially Renovated,100000.0,Davtashen
Stone,No,Not Available,5,57.0,2.0,1.0,2.75,4.0,Open Balcony,Available,Euro Renovation,110000.0,Arabkir
Stone,No,Not Available,4,85.0,3.0,1.0,3.0,4.0,Open Balcony,Available,Designer Renovated,230000.0,Kentron
Monolith,Yes,Available,14,43.0,1.0,1.0,3.0,7.0,Not Available,Not Available,Not Renovated,75000.0,Arabkir
Stone,No,Not Available,3,58.0,3.0,1.0,3.2,2.0,Open Balcony,Available,Partially Renovated,83000.0,Shengavit
Panel,No,Available,9,64.0,2.0,1.0,2.75,2.0,Closed Balcony,Partially Furnished,Capital Renovated,90000.0,Arabkir
Monolith,Yes,Available,16,125.0,4.0,2.0,3.0,9.0,Open Balcony,Available,Euro Renovation,250000.0,Qanaqer-Zeytun
Monolith,Yes,Available,18,88.0,2.0,1.0,3.0,14.0,Open Balcony,Not Available,Not Renovated,148000.0,Arabkir
Monolith,Yes,Available,7,72.0,2.0,2.0,3.0,4.0,Open Balcony,Available,Capital Renovated,160000.0,Kentron
Monolith,Yes,Available,13,99.0,3.0,2.0,3.0,6.0,Multiple Balconies,Available,Capital Renovated,162000.0,Qanaqer-Zeytun
Monolith,No,Available,11,69.0,3.0,1.0,2.75,3.0,Closed Balcony,Available,Capital Renovated,245000.0,Kentron
Panel,No,Available,10,72.0,3.0,2.0,2.7,3.0,Closed Balcony,Available,Euro Renovation,245000.0,Kentron
Monolith,Yes,Available,13,54.0,3.0,1.0,3.0,6.0,Not Available,Available,Euro Renovation,108000.0,Shengavit
Monolith,Yes,Available,16,70.0,2.0,1.0,3.0,6.0,Open Balcony,Not Available,Not Renovated,185000.0,Kentron
Panel,No,Available,9,80.0,3.0,1.0,2.7,1.0,Closed Balcony,Available,Cosmetic Renovation,130000.0,Nor Norq
Monolith,Yes,Available,18,52.0,2.0,1.0,3.0,10.0,Open Balcony,Available,Designer Renovated,117000.0,Davtashen
Stone,No,Not Available,5,77.0,3.0,1.0,3.0,3.0,Closed Balcony,Available,Designer Renovated,198000.0,Kentron
Panel,No,Not Available,4,50.0,2.0,1.0,2.8,4.0,Closed Balcony,Available,Euro Renovation,72000.0,Shengavit
Monolith,Yes,Available,16,100.0,3.0,2.0,3.0,7.0,Multiple Balconies,Available,Capital Renovated,239000.0,Arabkir
Stone,No,Not Available,5,74.0,3.0,1.0,3.0,4.0,Open Balcony,Partially Furnished,Partially Renovated,165000.0,Arabkir
Monolith,Yes,Available,19,92.0,3.0,2.0,2.8,3.0,Open Balcony,Available,Capital Renovated,223000.0,Davtashen
Monolith,No,Available,14,85.0,3.0,2.0,2.75,13.0,Multiple Balconies,Not Available,Partially Renovated,86000.0,Malatia-Sebastia
Panel,No,Available,9,80.0,3.0,2.0,2.75,5.0,Closed Balcony,Available,Partially Renovated,118000.0,Arabkir
Stone,No,Not Available,4,52.0,3.0,1.0,2.75,4.0,Open Balcony,Not Available,Not Renovated,65000.0,Malatia-Sebastia
Panel,No,Available,12,94.0,4.0,1.0,2.8,4.0,Multiple Balconies,Available,Partially Renovated,150000.0,Arabkir
Panel,Yes,Available,11,50.0,2.0,1.0,3.0,11.0,Not Available,Available,Partially Renovated,110000.0,Arabkir
Panel,No,Available,9,114.0,4.0,1.0,2.8,8.0,Open Balcony,Partially Furnished,Cosmetic Renovation,160000.0,Davtashen
Monolith,Yes,Available,14,62.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Capital Renovated,172000.0,Kentron
Monolith,No,Available,7,110.0,4.0,2.0,2.8,3.0,Open Balcony,Available,Partially Renovated,165000.0,Arabkir
Panel,No,Available,14,83.0,3.0,1.0,2.75,1.0,Not Available,Available,Old Renovation,90000.0,Arabkir
Monolith,Yes,Available,16,66.0,2.0,1.0,3.0,7.0,Open Balcony,Available,Designer Renovated,182000.0,Qanaqer-Zeytun
Panel,No,Available,10,42.0,1.0,1.0,2.75,9.0,Multiple Balconies,Not Available,Partially Renovated,79900.0,Kentron
Monolith,Yes,Available,14,68.0,2.0,1.0,3.0,12.0,Open Balcony,Available,Capital Renovated,210000.0,Kentron
Panel,No,Available,9,103.0,3.0,2.0,2.8,6.0,Closed Balcony,Available,Capital Renovated,159000.0,Kentron
Monolith,Yes,Available,8,83.0,3.0,2.0,3.0,2.0,Open Balcony,Partially Furnished,Euro Renovation,175000.0,Arabkir
Stone,Yes,Available,14,60.0,2.0,1.0,3.0,7.0,Open Balcony,Not Available,Capital Renovated,113000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,37.0,2.0,1.0,3.2,3.0,Not Available,Available,Designer Renovated,89000.0,Shengavit
Monolith,Yes,Available,6,53.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Designer Renovated,80000.0,Nor Norq
Panel,No,Available,14,81.0,3.0,1.0,2.8,10.0,Closed Balcony,Not Available,Partially Renovated,91000.0,Avan
Monolith,Yes,Available,15,75.0,3.0,2.0,2.8,11.0,Not Available,Available,Designer Renovated,172000.0,Davtashen
Monolith,Yes,Available,11,103.0,3.0,1.0,3.0,6.0,Open Balcony,Available,Capital Renovated,197000.0,Arabkir
Panel,No,Available,9,68.0,2.0,1.0,2.75,6.0,Not Available,Not Available,Partially Renovated,113000.0,Arabkir
Panel,No,Available,14,76.0,3.0,2.0,2.75,2.0,Multiple Balconies,Partially Furnished,Capital Renovated,105000.0,Avan
Stone,No,Not Available,5,68.0,2.0,1.0,3.0,2.0,Not Available,Available,Capital Renovated,165000.0,Arabkir
Panel,No,Available,14,90.0,3.0,1.0,2.75,2.0,Closed Balcony,Available,Old Renovation,125000.0,Arabkir
Stone,No,Not Available,5,48.0,2.0,2.0,2.75,2.0,Open Balcony,Available,Capital Renovated,92000.0,Arabkir
Panel,No,Available,9,77.0,3.0,1.0,2.75,9.0,Multiple Balconies,Available,Capital Renovated,95000.0,Qanaqer-Zeytun
Panel,No,Available,9,70.0,3.0,1.0,2.75,5.0,Closed Balcony,Available,Capital Renovated,155000.0,Kentron
Panel,No,Available,16,85.0,3.0,1.0,2.75,9.0,Not Available,Available,Designer Renovated,255000.0,Kentron
Monolith,Yes,Available,3,84.0,3.0,1.0,3.0,2.0,Multiple Balconies,Available,Designer Renovated,200000.0,Erebuni
Stone,No,Not Available,5,95.0,3.0,1.0,2.75,5.0,Open Balcony,Available,Cosmetic Renovation,240000.0,Arabkir
Stone,No,Not Available,6,67.0,2.0,1.0,2.5,5.0,Multiple Balconies,Partially Furnished,Old Renovation,100000.0,Arabkir
Stone,No,Not Available,5,84.0,4.0,2.0,2.8,3.0,Closed Balcony,Available,Capital Renovated,150000.0,Arabkir
Stone,No,Not Available,5,80.0,3.0,1.0,2.75,4.0,Multiple Balconies,Available,Old Renovation,115000.0,Arabkir
Stone,No,Available,6,64.0,2.0,1.0,2.75,5.0,Closed Balcony,Available,Capital Renovated,118000.0,Arabkir
Panel,No,Available,14,81.0,3.0,1.0,2.75,4.0,Open Balcony,Available,Capital Renovated,180000.0,Erebuni
Panel,No,Available,9,63.0,2.0,1.0,2.75,9.0,Open Balcony,Not Available,Cosmetic Renovation,114000.0,Erebuni
Stone,No,Not Available,5,58.0,2.0,1.0,2.7,3.0,Open Balcony,Available,Old Renovation,92000.0,Arabkir
Stone,No,Not Available,4,46.0,2.0,1.0,3.2,1.0,Closed Balcony,Available,Partially Renovated,88000.0,Arabkir
Panel,No,Not Available,4,52.0,2.0,1.0,2.5,4.0,Closed Balcony,Partially Furnished,Cosmetic Renovation,74000.0,Qanaqer-Zeytun
Panel,No,Available,10,65.0,3.0,1.0,2.75,8.0,Closed Balcony,Available,Designer Renovated,215000.0,Kentron
Panel,No,Available,9,60.0,2.0,1.0,2.8,4.0,Closed Balcony,Available,Cosmetic Renovation,64000.0,Erebuni
Stone,No,Not Available,5,49.0,2.0,2.0,3.0,4.0,Multiple Balconies,Available,Cosmetic Renovation,132700.0,Kentron
Stone,No,Not Available,5,68.0,3.0,1.0,3.2,2.0,Not Available,Available,Euro Renovation,250000.0,Kentron
Panel,No,Available,9,80.0,3.0,2.0,2.75,5.0,Closed Balcony,Available,Euro Renovation,132000.0,Malatia-Sebastia
Stone,No,Not Available,5,57.0,2.0,1.0,2.8,3.0,Open Balcony,Available,Old Renovation,95000.0,Arabkir
Monolith,Yes,Available,7,73.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Capital Renovated,165000.0,Nor Norq
Monolith,Yes,Available,16,120.0,4.0,2.0,3.0,3.0,Multiple Balconies,Not Available,Not Renovated,205000.0,Davtashen
Stone,No,Not Available,5,89.0,3.0,2.0,3.0,5.0,Not Available,Available,Partially Renovated,200000.0,Kentron
Monolith,Yes,Available,6,40.0,1.0,1.0,3.0,2.0,Open Balcony,Available,Capital Renovated,95000.0,Arabkir
Monolith,Yes,Available,18,78.0,2.0,1.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,118000.0,Arabkir
Stone,No,Available,8,48.0,3.0,1.0,2.8,3.0,Closed Balcony,Available,Capital Renovated,103000.0,Kentron
Stone,No,Not Available,5,66.0,2.0,1.0,3.0,4.0,Closed Balcony,Available,Euro Renovation,125000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,60.0,3.0,1.0,2.7,3.0,Not Available,Available,Cosmetic Renovation,95000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,82.0,3.0,1.0,2.7,4.0,Closed Balcony,Available,Designer Renovated,149000.0,Arabkir
Monolith,Yes,Available,15,73.0,3.0,2.0,3.0,9.0,Open Balcony,Not Available,Not Renovated,140000.0,Ajapnyak
Stone,No,Not Available,4,60.0,2.0,1.0,3.0,4.0,Multiple Balconies,Available,Old Renovation,105000.0,Arabkir
Stone,No,Not Available,4,57.0,2.0,1.0,3.0,2.0,Not Available,Not Available,Cosmetic Renovation,145000.0,Kentron
Monolith,Yes,Available,9,45.0,2.0,1.0,3.0,8.0,Open Balcony,Not Available,Capital Renovated,133000.0,Arabkir
Monolith,Yes,Available,16,61.0,2.0,1.0,3.0,12.0,Open Balcony,Available,Designer Renovated,190000.0,Arabkir
Stone,No,Not Available,3,75.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,160000.0,Kentron
Stone,No,Not Available,4,45.0,1.0,1.0,2.75,3.0,Not Available,Available,Euro Renovation,105000.0,Kentron
Panel,No,Available,16,87.0,3.0,2.0,2.8,9.0,Closed Balcony,Partially Furnished,Capital Renovated,121000.0,Davtashen
Stone,No,Not Available,4,40.0,2.0,1.0,2.7,4.0,Not Available,Available,Capital Renovated,64500.0,Ajapnyak
Monolith,Yes,Not Available,4,75.0,3.0,1.0,3.0,3.0,Open Balcony,Available,Euro Renovation,147000.0,Nor Norq
Stone,No,Available,7,75.0,2.0,2.0,2.8,3.0,Open Balcony,Available,Designer Renovated,157000.0,Arabkir
Panel,No,Available,9,96.0,4.0,2.0,2.8,4.0,Closed Balcony,Available,Cosmetic Renovation,123000.0,Arabkir
Monolith,Yes,Available,12,54.0,1.0,1.0,2.8,3.0,Open Balcony,Available,Cosmetic Renovation,87000.0,Davtashen
Monolith,Yes,Available,16,72.0,2.0,1.0,3.0,8.0,Open Balcony,Not Available,Not Renovated,133000.0,Arabkir
Stone,No,Not Available,5,71.0,3.0,1.0,2.75,5.0,Closed Balcony,Available,Old Renovation,129000.0,Shengavit
Panel,No,Available,9,73.0,3.0,1.0,2.8,9.0,Open Balcony,Available,Capital Renovated,223376.62,Kentron
Monolith,Yes,Available,20,87.0,3.0,1.0,3.0,12.0,Open Balcony,Not Available,Not Renovated,195000.0,Arabkir
Monolith,Yes,Available,8,105.0,3.0,2.0,3.0,3.0,Open Balcony,Available,Capital Renovated,225000.0,Arabkir
Panel,No,Available,14,80.0,3.0,1.0,2.75,13.0,Not Available,Available,Capital Renovated,145000.0,Davtashen
Monolith,Yes,Available,8,94.0,3.0,2.0,3.0,3.0,Open Balcony,Not Available,Designer Renovated,190000.0,Arabkir
Stone,No,Not Available,4,114.0,3.0,2.0,3.0,3.0,Multiple Balconies,Available,Euro Renovation,190000.0,Kentron
Monolith,Yes,Available,12,97.0,2.0,1.0,2.8,10.0,Open Balcony,Available,Capital Renovated,163000.0,Davtashen
Stone,No,Not Available,5,80.0,3.0,2.0,2.75,1.0,Closed Balcony,Not Available,Partially Renovated,98000.0,Arabkir
Stone,No,Not Available,5,66.0,2.0,1.0,3.5,4.0,Not Available,Available,Capital Renovated,147000.0,Arabkir
Panel,No,Available,16,109.0,4.0,1.0,2.75,2.0,Closed Balcony,Available,Old Renovation,170000.0,Kentron
Panel,No,Available,10,101.0,3.0,2.0,2.75,4.0,Closed Balcony,Not Available,Cosmetic Renovation,250000.0,Kentron
Panel,No,Available,9,65.0,2.0,1.0,2.75,3.0,Closed Balcony,Not Available,Partially Renovated,90000.0,Arabkir
Panel,No,Available,9,92.0,4.0,2.0,2.75,9.0,Multiple Balconies,Partially Furnished,Partially Renovated,87000.0,Malatia-Sebastia
Stone,No,Available,6,106.0,4.0,2.0,3.0,6.0,Not Available,Available,Euro Renovation,247000.0,Kentron
Stone,No,Not Available,3,84.0,3.0,1.0,2.75,2.0,Open Balcony,Available,Old Renovation,140000.0,Arabkir
Stone,No,Not Available,4,57.0,2.0,1.0,2.75,3.0,Not Available,Not Available,Capital Renovated,119000.0,Arabkir
Monolith,Yes,Available,18,52.0,2.0,2.0,3.0,9.0,Open Balcony,Available,Designer Renovated,118000.0,Ajapnyak
Panel,No,Available,9,65.0,2.0,1.0,2.75,2.0,Open Balcony,Available,Capital Renovated,180000.0,Kentron
Monolith,Yes,Available,9,43.0,2.0,1.0,3.0,5.0,Closed Balcony,Available,Designer Renovated,136000.0,Arabkir
Monolith,Yes,Available,16,100.0,3.0,2.0,3.0,10.0,Open Balcony,Not Available,Not Renovated,260000.0,Qanaqer-Zeytun
Stone,No,Not Available,5,86.0,3.0,1.0,3.2,4.0,Open Balcony,Available,Old Renovation,130000.0,Arabkir
Stone,No,Not Available,5,78.0,3.0,2.0,2.8,4.0,Open Balcony,Available,Old Renovation,112000.0,Arabkir
Monolith,Yes,Available,16,104.0,3.0,1.0,3.0,4.0,Open Balcony,Partially Furnished,Capital Renovated,280000.0,Arabkir
Monolith,Yes,Available,3,70.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,200000.0,Kentron
Stone,No,Not Available,5,31.0,1.0,1.0,3.2,1.0,Not Available,Available,Cosmetic Renovation,91500.0,Kentron
Panel,No,Available,9,100.0,4.0,2.0,2.75,5.0,Closed Balcony,Available,Old Renovation,140000.0,Arabkir
Stone,No,Not Available,5,62.0,2.0,1.0,2.8,4.0,Open Balcony,Partially Furnished,Designer Renovated,130000.0,Arabkir
Monolith,Yes,Available,8,86.0,3.0,1.0,3.0,2.0,Not Available,Not Available,Capital Renovated,212000.0,Arabkir
Stone,No,Not Available,5,31.0,2.0,1.0,2.8,4.0,Open Balcony,Available,Designer Renovated,122000.0,Kentron
Monolith,Yes,Available,12,60.0,2.0,1.0,3.0,10.0,Open Balcony,Available,Designer Renovated,170000.0,Arabkir
Panel,No,Available,10,65.0,2.0,2.0,2.75,3.0,Closed Balcony,Not Available,Old Renovation,105000.0,Arabkir
Monolith,Yes,Available,18,74.0,2.0,1.0,3.0,15.0,Open Balcony,Available,Designer Renovated,165000.0,Davtashen
Stone,No,Not Available,5,110.0,3.0,2.0,2.8,5.0,Open Balcony,Available,Euro Renovation,170000.0,Arabkir
Panel,No,Available,9,64.0,2.0,1.0,2.7,1.0,Closed Balcony,Available,Partially Renovated,73000.0,Nor Norq
Stone,No,Not Available,5,75.0,2.0,1.0,3.0,5.0,Open Balcony,Available,Euro Renovation,138000.0,Arabkir
Monolith,Yes,Available,18,60.0,2.0,1.0,3.0,13.0,Open Balcony,Not Available,Not Renovated,136000.0,Shengavit
Stone,No,Not Available,5,48.0,1.0,1.0,2.8,4.0,Closed Balcony,Available,Partially Renovated,69000.0,Ajapnyak
Panel,No,Available,9,65.0,2.0,2.0,2.8,5.0,Open Balcony,Available,Capital Renovated,110000.0,Kentron
Monolith,Yes,Available,13,57.0,3.0,1.0,3.0,11.0,Closed Balcony,Available,Capital Renovated,130000.0,Arabkir
Stone,No,Not Available,5,83.0,3.0,1.0,2.75,4.0,Multiple Balconies,Not Available,Euro Renovation,145000.0,Arabkir
Monolith,Yes,Available,14,108.0,4.0,2.0,3.0,11.0,Open Balcony,Not Available,Capital Renovated,205000.0,Arabkir
Monolith,Yes,Available,14,81.0,3.0,2.0,3.0,12.0,Open Balcony,Available,Euro Renovation,195000.0,Arabkir
Panel,No,Available,9,90.0,4.0,2.0,2.75,5.0,Multiple Balconies,Available,Euro Renovation,133000.0,Malatia-Sebastia
Monolith,Yes,Available,12,93.0,3.0,2.0,3.0,9.0,Open Balcony,Partially Furnished,Designer Renovated,225000.0,Arabkir
Panel,No,Available,16,100.0,3.0,1.0,2.75,11.0,Closed Balcony,Available,Euro Renovation,235000.0,Kentron
Panel,No,Available,10,77.0,2.0,1.0,2.75,3.0,Not Available,Available,Euro Renovation,140000.0,Kentron
Monolith,Yes,Available,12,96.0,4.0,2.0,3.0,9.0,Open Balcony,Available,Not Renovated,195000.0,Arabkir
Panel,No,Available,9,67.0,2.0,1.0,2.7,7.0,Not Available,Not Available,Old Renovation,99000.0,Arabkir
Panel,No,Available,10,75.0,3.0,1.0,2.75,10.0,Not Available,Available,Euro Renovation,196000.0,Kentron
Stone,No,Not Available,5,53.0,2.0,1.0,2.7,1.0,Not Available,Available,Capital Renovated,88000.0,Arabkir
Monolith,Yes,Available,15,65.0,2.0,1.0,3.0,7.0,Open Balcony,Available,Capital Renovated,250000.0,Arabkir
Stone,No,Not Available,4,33.0,2.0,1.0,3.2,2.0,Not Available,Available,Designer Renovated,125000.0,Kentron
Stone,No,Not Available,5,96.0,4.0,1.0,2.8,5.0,Open Balcony,Partially Furnished,Old Renovation,105000.0,Nor Norq
Panel,No,Available,9,78.0,3.0,1.0,2.8,6.0,Closed Balcony,Available,Capital Renovated,140000.0,Arabkir
Panel,No,Available,14,52.0,2.0,1.0,2.75,7.0,Not Available,Available,Capital Renovated,87000.0,Arabkir
Monolith,Yes,Available,14,58.0,2.0,1.0,3.0,11.0,Open Balcony,Not Available,Not Renovated,110000.0,Arabkir
Monolith,Yes,Available,16,104.0,3.0,1.0,3.0,10.0,Open Balcony,Partially Furnished,Euro Renovation,169000.0,Arabkir
Stone,No,Not Available,5,57.0,2.0,1.0,2.75,4.0,Closed Balcony,Available,Capital Renovated,99000.0,Arabkir
Panel,No,Available,10,67.0,2.0,1.0,2.75,7.0,Open Balcony,Available,Old Renovation,107000.0,Arabkir
Monolith,Yes,Available,8,89.0,3.0,2.0,3.0,3.0,Open Balcony,Partially Furnished,Capital Renovated,168000.0,Arabkir
Monolith,Yes,Available,15,58.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Designer Renovated,255000.0,Kentron
Stone,No,Available,7,51.0,2.0,1.0,2.8,7.0,Open Balcony,Available,Capital Renovated,85000.0,Arabkir
Stone,No,Not Available,4,81.0,2.0,1.0,3.0,3.0,Multiple Balconies,Available,Old Renovation,160000.0,Erebuni
Monolith,Yes,Available,14,40.0,2.0,1.0,3.0,7.0,Open Balcony,Available,Capital Renovated,150000.0,Davtashen
Monolith,No,Available,11,88.0,3.0,1.0,2.75,11.0,Open Balcony,Partially Furnished,Euro Renovation,205000.0,Kentron
Panel,No,Available,9,46.0,2.0,1.0,2.8,5.0,Open Balcony,Available,Capital Renovated,106000.0,Kentron
Monolith,Yes,Available,16,55.0,2.0,1.0,3.0,14.0,Open Balcony,Available,Capital Renovated,123000.0,Kentron
Monolith,Yes,Available,11,62.0,2.0,1.0,3.0,9.0,Not Available,Available,Designer Renovated,190000.0,Arabkir
Monolith,Yes,Available,12,68.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,185000.0,Kentron
Stone,No,Not Available,5,102.0,4.0,1.0,2.75,1.0,Not Available,Available,Partially Renovated,130000.0,Nor Norq
Stone,No,Available,7,73.0,3.0,1.0,2.8,6.0,Not Available,Available,Old Renovation,113000.0,Arabkir
Stone,No,Available,9,53.0,2.0,2.0,2.8,8.0,Open Balcony,Available,Capital Renovated,119000.0,Arabkir
Monolith,Yes,Not Available,15,59.0,2.0,2.0,3.0,3.0,Open Balcony,Available,Not Renovated,100000.0,Arabkir
Panel,No,Available,9,69.0,3.0,1.0,2.8,7.0,Not Available,Not Available,Cosmetic Renovation,114000.0,Arabkir
Monolith,Yes,Available,14,116.0,3.0,2.0,3.0,10.0,Multiple Balconies,Available,Capital Renovated,265000.0,Kentron
Panel,No,Available,9,80.0,3.0,1.0,2.8,7.0,Open Balcony,Available,Designer Renovated,148000.0,Davtashen
Monolith,Yes,Available,15,97.0,3.0,2.0,3.0,7.0,Open Balcony,Not Available,Not Renovated,158000.0,Arabkir
Stone,No,Not Available,3,86.0,4.0,1.0,3.0,1.0,Not Available,Available,Partially Renovated,76000.0,Shengavit
Panel,No,Available,10,77.0,3.0,1.0,2.75,3.0,Open Balcony,Available,Euro Renovation,138000.0,Kentron
Stone,No,Not Available,5,37.0,2.0,1.0,3.0,4.0,Open Balcony,Available,Designer Renovated,117000.0,Erebuni
Panel,No,Available,9,80.0,3.0,1.0,2.75,5.0,Closed Balcony,Available,Euro Renovation,85500.0,Avan
Stone,No,Not Available,5,58.0,2.0,1.0,2.75,4.0,Closed Balcony,Not Available,Old Renovation,93000.0,Arabkir
Stone,No,Not Available,5,90.0,4.0,1.0,3.0,2.0,Not Available,Available,Euro Renovation,205000.0,Erebuni
Monolith,Yes,Available,16,59.0,2.0,1.0,3.0,6.0,Open Balcony,Available,Euro Renovation,199000.0,Kentron
Stone,No,Available,7,86.0,4.0,1.0,2.8,4.0,Open Balcony,Available,Capital Renovated,257142.86,Kentron
Stone,No,Not Available,5,90.0,3.0,1.0,3.2,2.0,Closed Balcony,Not Available,Not Renovated,165000.0,Arabkir
Panel,No,Available,12,63.0,2.0,1.0,2.7,4.0,Not Available,Partially Furnished,Old Renovation,80000.0,Nor Norq
Panel,No,Available,9,67.0,2.0,1.0,2.75,6.0,Closed Balcony,Not Available,Old Renovation,85000.0,Davtashen
Panel,No,Not Available,5,51.0,2.0,1.0,2.7,4.0,Closed Balcony,Available,Partially Renovated,85000.0,Nor Norq
Panel,No,Available,9,70.0,2.0,1.0,2.8,3.0,Closed Balcony,Available,Designer Renovated,130000.0,Arabkir
Monolith,Yes,Available,7,84.0,3.0,2.0,3.0,5.0,Multiple Balconies,Available,Euro Renovation,220000.0,Arabkir
Monolith,Yes,Available,12,60.0,2.0,1.0,3.0,3.0,Open Balcony,Available,Capital Renovated,128000.0,Arabkir
Monolith,Yes,Available,12,40.0,1.0,1.0,2.8,9.0,Not Available,Available,Capital Renovated,69000.0,Ajapnyak
Stone,No,Not Available,5,51.0,2.0,1.0,2.75,2.0,Closed Balcony,Available,Old Renovation,88000.0,Arabkir
Panel,No,Available,14,62.0,2.0,2.0,2.75,5.0,Closed Balcony,Available,Old Renovation,76000.0,Malatia-Sebastia
Panel,No,Available,9,89.0,4.0,2.0,2.8,3.0,Open Balcony,Available,Cosmetic Renovation,135000.0,Kentron
